OD,OD FULL (CODE COMMUNE),NOM_COM_START,NOM_COM_END,Nombre,CENTROID_COM_START_X,CENTROID_COM_START_Y,CENTROID_COM_END_X,CENTROID_COM_END_Y,WAYPOINT_X,WAYPOINT_Y,WIDTH,WKT
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69290 -> 69387,Saint-Priest,Lyon 7e Arrondissement,74,4.9489228896489,45.7017753082431,4.83736856178182,45.7334291759191,4.881232,45.732687,7.4,"LINESTRING(4.9489228896489 45.7017753082431,4.881232 45.732687,4.83736856178182 45.7334291759191)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69382 -> 69029,Lyon 2e Arrondissement,Bron,74,4.82563546201978,45.7484198223014,4.91194010503519,45.7346725078783,4.842077,45.721641,7.4,"LINESTRING(4.82563546201978 45.7484198223014,4.842077 45.721641,4.91194010503519 45.7346725078783)"
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69290 -> 69029,Saint-Priest,Bron,73,4.9489228896489,45.7017753082431,4.91194010503519,45.7346725078783,4.881232,45.732687,7.3,"LINESTRING(4.9489228896489 45.7017753082431,4.881232 45.732687,4.91194010503519 45.7346725078783)"
PASSE PAR AVENUE JEAN MERMOZ Ouest Est,PASSE PAR AVENUE JEAN MERMOZ Ouest Est : 69387 -> 69290,Lyon 7e Arrondissement,Saint-Priest,73,4.83736856178182,45.7334291759191,4.9489228896489,45.7017753082431,4.881232,45.732687,7.3,"LINESTRING(4.83736856178182 45.7334291759191,4.881232 45.732687,4.9489228896489 45.7017753082431)"
PASSE PAR AVENUE JEAN MERMOZ Ouest Est,PASSE PAR AVENUE JEAN MERMOZ Ouest Est : 69388 -> 69275,Lyon 8e Arrondissement,Décines-Charpieu,72,4.86928073743304,45.7339241974647,4.9617090527145,45.7719771208726,4.881232,45.732687,7.2,"LINESTRING(4.86928073743304 45.7339241974647,4.881232 45.732687,4.9617090527145 45.7719771208726)"
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69282 -> 69388,Meyzieu,Lyon 8e Arrondissement,71,5.00629233543023,45.7771600152202,4.86928073743304,45.7339241974647,4.881232,45.732687,7.1,"LINESTRING(5.00629233543023 45.7771600152202,4.881232 45.732687,4.86928073743304 45.7339241974647)"
PASSE PAR AVENUE JEAN MERMOZ Ouest Est,PASSE PAR AVENUE JEAN MERMOZ Ouest Est : 69388 -> 69388,Lyon 8e Arrondissement,Lyon 8e Arrondissement,70,4.86928073743304,45.7339241974647,4.86928073743304,45.7339241974647,4.881232,45.732687,7,"LINESTRING(4.86928073743304 45.7339241974647,4.881232 45.732687,4.86928073743304 45.7339241974647)"
PASSE PAR D51_Sud_Nord,PASSE PAR D51_Sud_Nord : 69383 -> 69389,Lyon 3e Arrondissement,Lyon 9e Arrondissement,68,4.86938666205072,45.7533324518969,4.80878323742598,45.7826268074114,4.845935,45.814674,6.8,"LINESTRING(4.86938666205072 45.7533324518969,4.845935 45.814674,4.80878323742598 45.7826268074114)"
PASSE PAR D51_Sud_Nord,PASSE PAR D51_Sud_Nord : 69384 -> 69389,Lyon 4e Arrondissement,Lyon 9e Arrondissement,67,4.82371117590752,45.7790002347048,4.80878323742598,45.7826268074114,4.845935,45.814674,6.7,"LINESTRING(4.82371117590752 45.7790002347048,4.845935 45.814674,4.80878323742598 45.7826268074114)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69259 -> 69259,Vénissieux,Vénissieux,65,4.88119698352709,45.7042422660472,4.88119698352709,45.7042422660472,4.842077,45.721641,6.5,"LINESTRING(4.88119698352709 45.7042422660472,4.842077 45.721641,4.88119698352709 45.7042422660472)"
